typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group
48,2.1091,1,6 x 8 =,smallFirst,largeProd,656,BCA
24,2.0239,1,6 x 4 =,largeFirst,smallProd,656,BCA
20,1.6821,1,4 x 5 =,smallFirst,smallProd,656,BCA
12,1.2558,1,4 x 3 =,largeFirst,smallProd,656,BCA
18,1.5464,1,6 x 3 =,largeFirst,smallProd,656,BCA
28,1.7702,1,4 x 7 =,smallFirst,largeProd,656,BCA
42,1.6788,1,7 x 6 =,largeFirst,largeProd,656,BCA
35,2.116,0,9 x 5 =,largeFirst,largeProd,656,BCA
54,9.6004,1,6 x 9 =,smallFirst,largeProd,656,BCA
6,4.0269,1,3 x 2 =,largeFirst,smallProd,656,BCA
32,1.9628,1,8 x 4 =,largeFirst,largeProd,656,BCA
56,3.3482,1,7 x 8 =,smallFirst,largeProd,656,BCA
16,2.5226,1,8 x 2 =,largeFirst,smallProd,656,BCA
40,3.2583,1,5 x 8 =,smallFirst,largeProd,656,BCA
30,3.1393,1,6 x 5 =,largeFirst,largeProd,656,BCA
36,5.1563,1,4 x 9 =,smallFirst,largeProd,656,BCA
14,1.6327,1,7 x 2 =,largeFirst,smallProd,656,BCA
16,1.9682,1,2 x 8 =,smallFirst,smallProd,656,BCA
40,1.8599,1,8 x 5 =,largeFirst,largeProd,656,BCA
54,3.7336,1,9 x 6 =,largeFirst,largeProd,656,BCA
24,2.1186,1,8 x 3 =,largeFirst,smallProd,656,BCA
27,6.4415,1,3 x 9 =,smallFirst,largeProd,656,BCA
18,1.4392,1,9 x 2 =,largeFirst,smallProd,656,BCA
14,1.691,1,2 x 7 =,smallFirst,smallProd,656,BCA
15,5.2427,1,5 x 3 =,largeFirst,smallProd,656,BCA
30,3.8189,1,5 x 6 =,smallFirst,largeProd,656,BCA
45,1.8823,1,5 x 9 =,smallFirst,largeProd,656,BCA
18,1.8533,1,3 x 6 =,smallFirst,smallProd,656,BCA
28,2.018,1,7 x 4 =,largeFirst,largeProd,656,BCA
12,1.422,1,3 x 4 =,smallFirst,smallProd,656,BCA
6,3.9835,1,2 x 3 =,smallFirst,smallProd,656,BCA
63,2.4663,1,7 x 9 =,smallFirst,largeProd,656,BCA
24,3.1166,1,4 x 6 =,smallFirst,smallProd,656,BCA
8,1.2806,1,4 x 2 =,largeFirst,smallProd,656,BCA
21,1.469,1,7 x 3 =,largeFirst,smallProd,656,BCA
36,2.0673,1,9 x 4 =,largeFirst,largeProd,656,BCA
10,1.3655,1,2 x 5 =,smallFirst,smallProd,656,BCA
72,1.9597,1,9 x 8 =,largeFirst,largeProd,656,BCA
35,5.0669,1,5 x 7 =,smallFirst,largeProd,656,BCA
56,1.7143,1,8 x 7 =,largeFirst,largeProd,656,BCA
32,1.8027,1,4 x 8 =,smallFirst,largeProd,656,BCA
48,5.3851,1,8 x 6 =,largeFirst,largeProd,656,BCA
12,2.4247,1,6 x 2 =,largeFirst,smallProd,656,BCA
42,1.5603,1,6 x 7 =,smallFirst,largeProd,656,BCA
20,1.2875,1,5 x 4 =,largeFirst,smallProd,656,BCA
36,2.2666,1,4 x 9 =,smallFirst,largeProd,657,ACB
54,2.4163,1,6 x 9 =,smallFirst,largeProd,657,ACB
48,2.2821,0,7 x 6 =,largeFirst,largeProd,657,ACB
6,1.4652,1,3 x 2 =,largeFirst,smallProd,657,ACB
56,1.8147,1,7 x 8 =,smallFirst,largeProd,657,ACB
18,1.9159,1,2 x 9 =,smallFirst,smallProd,657,ACB
14,1.2157,1,7 x 2 =,largeFirst,smallProd,657,ACB
12,1.1662,1,4 x 3 =,largeFirst,smallProd,657,ACB
27,2.0329,1,9 x 3 =,largeFirst,largeProd,657,ACB
8,2.1662,1,2 x 4 =,smallFirst,smallProd,657,ACB
21,1.3333,1,3 x 7 =,smallFirst,smallProd,657,ACB
45,1.5662,1,9 x 5 =,largeFirst,largeProd,657,ACB
35,1.6834,1,7 x 5 =,largeFirst,largeProd,657,ACB
63,1.9163,1,9 x 7 =,largeFirst,largeProd,657,ACB
30,1.9137,1,6 x 5 =,largeFirst,largeProd,657,ACB
72,3.5325,1,8 x 9 =,smallFirst,largeProd,657,ACB
35,1.7333,0,8 x 4 =,largeFirst,largeProd,657,ACB
15,2.0161,1,3 x 5 =,smallFirst,smallProd,657,ACB
10,1.283,1,5 x 2 =,largeFirst,smallProd,657,ACB
1,3.3074,0,8 x 2 =,largeFirst,smallProd,657,ACB
28,2.383,1,4 x 7 =,smallFirst,largeProd,657,ACB
48,2.183,1,6 x 8 =,smallFirst,largeProd,657,ACB
24,2.0161,1,6 x 4 =,largeFirst,smallProd,657,ACB
20,1.4499,1,4 x 5 =,smallFirst,smallProd,657,ACB
12,1.105,1,2 x 6 =,smallFirst,smallProd,657,ACB
40,2.2326,1,5 x 8 =,smallFirst,largeProd,657,ACB
18,3.5324,1,6 x 3 =,largeFirst,smallProd,657,ACB
24,3.1489,1,3 x 8 =,smallFirst,smallProd,657,ACB
12,1.3825,1,3 x 4 =,smallFirst,smallProd,657,ACB
56,1.8663,1,8 x 7 =,largeFirst,largeProd,657,ACB
15,1.8158,1,5 x 3 =,largeFirst,smallProd,657,ACB
30,1.7823,1,5 x 6 =,smallFirst,largeProd,657,ACB
45,1.8664,1,5 x 9 =,smallFirst,largeProd,657,ACB
10,1.4495,1,2 x 5 =,smallFirst,smallProd,657,ACB
12,1.068,1,6 x 2 =,largeFirst,smallProd,657,ACB
48,2.1492,1,8 x 6 =,largeFirst,largeProd,657,ACB
35,2.7829,1,5 x 7 =,smallFirst,largeProd,657,ACB
14,1.6518,1,2 x 7 =,smallFirst,smallProd,657,ACB
28,2.2966,1,7 x 4 =,largeFirst,largeProd,657,ACB
8,1.4666,1,4 x 2 =,largeFirst,smallProd,657,ACB
18,2.2656,1,3 x 6 =,smallFirst,smallProd,657,ACB
16,1.7658,1,2 x 8 =,smallFirst,smallProd,657,ACB
20,1.6653,1,5 x 4 =,largeFirst,smallProd,657,ACB
21,1.1488,1,7 x 3 =,largeFirst,smallProd,657,ACB
63,2.0329,1,7 x 9 =,smallFirst,largeProd,657,ACB
32,1.6156,0,9 x 4 =,largeFirst,largeProd,657,ACB
36,2.3986,0,4 x 8 =,smallFirst,largeProd,657,ACB
40,1.8152,1,8 x 5 =,largeFirst,largeProd,657,ACB
6,1.8995,1,2 x 3 =,smallFirst,smallProd,657,ACB
54,2.4657,1,9 x 6 =,largeFirst,largeProd,657,ACB
24,2.3154,1,4 x 6 =,smallFirst,smallProd,657,ACB
21,1.8325,0,8 x 3 =,largeFirst,smallProd,657,ACB
27,2.5492,1,3 x 9 =,smallFirst,largeProd,657,ACB
18,2.0992,1,9 x 2 =,largeFirst,smallProd,657,ACB
72,1.9828,1,9 x 8 =,largeFirst,largeProd,657,ACB
42,2.4649,1,6 x 7 =,smallFirst,largeProd,657,ACB
56,2.1165,1,8 x 7 =,largeFirst,largeProd,658,CAB
6,1.7495,1,2 x 3 =,smallFirst,smallProd,658,CAB
24,1.8161,1,4 x 6 =,smallFirst,smallProd,658,CAB
42,2.8987,1,6 x 7 =,smallFirst,largeProd,658,CAB
72,2.0328,1,9 x 8 =,largeFirst,largeProd,658,CAB
12,1.2824,1,3 x 4 =,smallFirst,smallProd,658,CAB
28,1.9151,1,7 x 4 =,largeFirst,largeProd,658,CAB
10,1.3314,1,2 x 5 =,smallFirst,smallProd,658,CAB
24,2.916,1,8 x 3 =,largeFirst,smallProd,658,CAB
35,2.015,1,5 x 7 =,smallFirst,largeProd,658,CAB
18,1.7161,1,3 x 6 =,smallFirst,smallProd,658,CAB
21,1.8505,1,7 x 3 =,largeFirst,smallProd,658,CAB
45,1.816,1,5 x 9 =,smallFirst,largeProd,658,CAB
