typedNumber,typingRT,answerCorr,participant,group
15,1.2192,1,694,ACB
16,1.1659,1,694,ACB
40,1.4993,1,694,ACB
24,1.1493,1,694,ACB
54,1.3823,1,694,ACB
21,0.9829,1,694,ACB
12,0.7657,1,694,ACB
56,1.1993,1,694,ACB
27,1.449,1,694,ACB
35,1.4155,1,694,ACB
18,1.4493,1,694,ACB
30,1.4156,1,694,ACB
72,1.7988,1,694,ACB
63,1.6331,1,694,ACB
36,1.7662,1,694,ACB
8,1.4667,1,694,ACB
32,1.2331,1,694,ACB
6,1.0324,1,694,ACB
49,1.8293,1,694,ACB
10,1.2664,1,694,ACB
20,1.366,1,694,ACB
9,1.1798,1,694,ACB
28,1.8155,1,694,ACB
14,1.2159,1,694,ACB
8,1.4944,1,695,ACB
15,1.1089,1,695,ACB
21,0.9522,1,695,ACB
30,2.1901,1,695,ACB
12,0.8909,1,695,ACB
9,0.9474,1,695,ACB
24,0.9815,1,695,ACB
63,1.7063,1,695,ACB
64,1.8475,1,695,ACB
48,1.3242,1,695,ACB
32,1.0396,1,695,ACB
35,1.2109,1,695,ACB
18,1.3548,1,695,ACB
20,1.2146,1,695,ACB
10,1.2675,1,695,ACB
45,1.1817,1,695,ACB
42,1.244,1,695,ACB
72,1.3701,1,695,ACB
36,1.2951,1,695,ACB
6,0.9534,1,695,ACB
49,1.3317,1,695,ACB
40,1.4842,1,695,ACB
54,1.3043,1,695,ACB
14,1.201,1,695,ACB
28,1.1926,1,695,ACB
56,1.3675,1,695,ACB
27,1.2967,1,695,ACB
16,1.3278,1,695,ACB
10,1.1158,1,696,CAB
28,1.3993,1,696,CAB
12,0.8658,1,696,CAB
18,1.0326,1,696,CAB
16,1.2023,1,696,CAB
20,1.2496,1,696,CAB
49,1.7157,1,696,CAB
56,1.3654,1,696,CAB
54,2.0157,1,696,CAB
30,1.1824,1,696,CAB
45,1.2324,1,696,CAB
6,1.0163,1,696,CAB
32,1.0852,1,696,CAB
63,1.4324,1,696,CAB
21,0.8493,1,696,CAB
20,0.9501,0,696,CAB
15,3.3986,1,696,CAB
27,1.4993,1,696,CAB
8,0.9996,1,696,CAB
48,1.6658,1,696,CAB
42,1.3993,1,696,CAB
24,1.0994,1,696,CAB
36,1.3658,1,696,CAB
72,1.7493,1,696,CAB
64,1.5323,1,696,CAB
14,1.0993,1,696,CAB
35,2.0654,1,696,CAB
9,1.2661,1,696,CAB
64,1.9665,1,697,BAC
10,0.9831,1,697,BAC
15,1.0664,1,697,BAC
35,1.5502,1,697,BAC
32,1.0498,1,697,BAC
45,1.1,1,697,BAC
42,1.0829,1,697,BAC
21,1.083,1,697,BAC
30,1.1,1,697,BAC
12,1.0116,1,697,BAC
16,1.4793,1,697,BAC
49,1.4837,1,697,BAC
56,1.2169,1,697,BAC
36,1.3337,1,697,BAC
14,1.0822,1,697,BAC
28,1.4673,1,697,BAC
40,1.2507,1,697,BAC
63,1.3667,1,697,BAC
48,1.4007,1,697,BAC
18,1.0503,1,697,BAC
72,1.3174,1,697,BAC
8,1.3173,1,697,BAC
54,1.518,1,697,BAC
24,1.0993,1,697,BAC
20,0.9669,1,697,BAC
27,1.0998000000000001,1,697,BAC
6,1.0347,1,697,BAC
9,0.9504,1,697,BAC
40,1.799,1,698,ACB
42,1.3492,1,698,ACB
30,1.3517,1,698,ACB
35,1.5007,1,698,ACB
32,1.3154,1,698,ACB
6,1.3016,1,698,ACB
45,1.5319,1,698,ACB
20,1.6822,1,698,ACB
27,1.1805,1,698,ACB
24,1.066,1,698,ACB
12,0.9668,1,698,ACB
48,1.4657,1,698,ACB
10,1.2471,1,698,ACB
49,1.6517,1,698,ACB
14,1.1654,1,698,ACB
8,1.2345,1,698,ACB
9,1.1674,1,698,ACB
63,1.4659,1,698,ACB
18,1.3294,1,698,ACB
56,1.4493,1,698,ACB
72,1.6491,1,698,ACB
54,1.2161,1,698,ACB
28,1.7002,1,698,ACB
64,1.547,1,698,ACB
15,1.1523,1,698,ACB
16,1.2139,1,698,ACB
36,1.2826,1,698,ACB
21,1.0972,1,698,ACB
63,2.1245,1,700,ABC
9,1.5065,1,700,ABC
54,2.2421,1,700,ABC
27,1.89,1,700,ABC
64,2.074,1,700,ABC
36,2.0247,1,700,ABC
56,2.1413,1,700,ABC
12,1.355,1,700,ABC
14,1.2546,1,700,ABC
49,1.7913,1,700,ABC
