typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group,mean_blocks,max_digitspan,digitspan_type,median_RT,num_correct_trials,interference_score
18,1.9488,1,9 x 2 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,7
14,1.9833,1,2 x 7 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,4
12,1.3502,1,6 x 2 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,3
30,1.7662,1,5 x 6 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,6
24,1.6494,1,4 x 6 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,12
16,2.9159,1,2 x 8 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,7
48,1.9659,1,8 x 6 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,11
32,2.1321,1,4 x 8 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,25
56,1.6328,1,8 x 7 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
35,2.2829,1,5 x 7 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,7
10,1.283,1,2 x 5 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,0
400,2.8327,0,8 x 5 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
12,2.4491,1,3 x 4 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,10
6,2.0165,1,2 x 3 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,0
54,1.9996,1,9 x 6 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,13
45,2.3161,1,5 x 9 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,6
8,1.4328,1,4 x 2 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,1
27,2.1998,1,3 x 9 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
36,1.9323,1,9 x 4 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
24,1.6329,1,8 x 3 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,13
72,2.216,1,9 x 8 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,19
20,1.3992,1,5 x 4 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,8
21,1.1663,1,7 x 3 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,13
28,1.9652,1,7 x 4 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,17
27,2.1663,1,9 x 3 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
3,1.2995,0,8 x 4 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,25
49,1.8494,1,7 x 7 =,tie,largeProd,653,CBA,9,3,WAIS,1.3331,28,7
12,1.266,1,4 x 3 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,10
30,3.3826,1,6 x 5 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,6
45,1.4662,1,9 x 5 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,6
28,2.0325,1,4 x 7 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,17
40,1.7159,1,5 x 8 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
18,1.4991,1,2 x 9 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,7
16,1.6662,1,8 x 2 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,7
15,1.6829,1,3 x 5 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,2
24,2.483,1,3 x 8 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,13
8,1.3994,1,2 x 4 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,1
6,1.4833,1,3 x 2 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,0
24,1.6164,1,6 x 4 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,12
14,1.2333,1,7 x 2 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,4
10,1.1497,1,5 x 2 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,0
56,1.7664,1,7 x 8 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
18,2.3659,1,6 x 3 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,8
36,1.8329,1,4 x 9 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,9
42,1.7659,1,7 x 6 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,22
72,4.2651,1,8 x 9 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,19
35,1.7664,1,7 x 5 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,7
27,1.8827,0,3 x 7 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,13
9,1.2333,1,3 x 3 =,tie,smallProd,653,CBA,9,3,WAIS,1.3331,28,0
20,1.6998,1,4 x 5 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,8
63,2.1995,1,9 x 7 =,largeFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,17
48,1.9661,1,6 x 8 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,11
12,1.6659,1,2 x 6 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,3
54,2.083,1,6 x 9 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,13
